p;n;connectedGraphs
0.780000;70;0
0.790000;70;0
0.800000;70;0
0.810000;70;0
0.820000;70;0
0.830000;70;0
0.840000;70;0
0.850000;70;0
0.860000;70;0
0.870000;70;0
0.880000;70;0
0.890000;70;0
0.900000;70;0
0.910000;70;0
0.920000;70;0
0.930000;70;0
0.940000;70;0
0.950000;70;0
0.960000;70;0
0.970000;70;0
0.980000;70;0
0.990000;70;0
1.000000;70;0
0.000000;80;1000
0.010000;80;996
0.020000;80;984
0.030000;80;964
0.040000;80;939
0.050000;80;890
0.060000;80;848
0.070000;80;805
0.080000;80;768
0.090000;80;693
0.100000;80;647
0.110000;80;623
0.120000;80;521
0.130000;80;471
0.140000;80;400
0.150000;80;393
0.160000;80;318
0.170000;80;293
0.180000;80;219
0.190000;80;208
0.200000;80;147
0.210000;80;116
0.220000;80;96
0.230000;80;107
0.240000;80;61
0.250000;80;45
0.260000;80;33
0.270000;80;22
0.280000;80;23
0.290000;80;14
0.300000;80;10
0.310000;80;5
0.320000;80;6
0.330000;80;3
0.340000;80;2
0.350000;80;2
0.360000;80;0
0.370000;80;0
0.380000;80;0
0.390000;80;0
0.400000;80;1
0.410000;80;0
0.420000;80;0
0.430000;80;0
0.440000;80;0
0.450000;80;0
0.460000;80;0
0.470000;80;0
0.480000;80;0
0.490000;80;0
0.500000;80;0
0.510000;80;0
0.520000;80;0
0.530000;80;0
0.540000;80;0
0.550000;80;0
0.560000;80;0
0.570000;80;0
0.580000;80;0
0.590000;80;0
0.600000;80;0
0.610000;80;0
0.620000;80;0
0.630000;80;0
0.640000;80;0
0.650000;80;0
0.660000;80;0
0.670000;80;0
0.680000;80;0
0.690000;80;0
0.700000;80;0
0.710000;80;0
0.720000;80;0
0.730000;80;0
0.740000;80;0
0.750000;80;0
0.760000;80;0
0.770000;80;0
0.780000;80;0
0.790000;80;0
0.800000;80;0
0.810000;80;0
0.820000;80;0
0.830000;80;0
0.840000;80;0
0.850000;80;0
0.860000;80;0
0.870000;80;0
0.880000;80;0
0.890000;80;0
0.900000;80;0
0.910000;80;0
0.920000;80;0
0.930000;80;0
0.940000;80;0
0.950000;80;0
0.960000;80;0
0.970000;80;0
0.980000;80;0
0.990000;80;0
1.000000;80;0
0.000000;90;1000
0.010000;90;1000
0.020000;90;987
0.030000;90;951
0.040000;90;938
0.050000;90;883
0.060000;90;849
0.070000;90;788
0.080000;90;733
0.090000;90;679
0.100000;90;635
0.110000;90;546
0.120000;90;509
0.130000;90;420
0.140000;90;346
0.150000;90;329
0.160000;90;279
0.170000;90;229
0.180000;90;204
0.190000;90;140
0.200000;90;112
0.210000;90;108
0.220000;90;80
0.230000;90;63
0.240000;90;46
0.250000;90;37
0.260000;90;15
0.270000;90;13
0.280000;90;11
0.290000;90;9
0.300000;90;4
0.310000;90;6
0.320000;90;2
0.330000;90;1
0.340000;90;2
0.350000;90;0
0.360000;90;0
0.370000;90;1
0.380000;90;0
0.390000;90;0
0.400000;90;0
0.410000;90;0
0.420000;90;0
0.430000;90;0
0.440000;90;0
0.450000;90;0
0.460000;90;0
0.470000;90;0
0.480000;90;0
0.490000;90;0
0.500000;90;0
0.510000;90;0
0.520000;90;0
0.530000;90;0
0.540000;90;0
0.550000;90;0
0.560000;90;0
0.570000;90;0
0.580000;90;0
0.590000;90;0
0.600000;90;0
0.610000;90;0
0.620000;90;0
0.630000;90;0
0.640000;90;0
0.650000;90;0
0.660000;90;0
0.670000;90;0
0.680000;90;0
0.690000;90;0
0.700000;90;0
0.710000;90;0
0.720000;90;0
0.730000;90;0
0.740000;90;0
0.750000;90;0
0.760000;90;0
0.770000;90;0
0.780000;90;0
0.790000;90;0
0.800000;90;0
0.810000;90;0
0.820000;90;0
0.830000;90;0
0.840000;90;0
0.850000;90;0
0.860000;90;0
0.870000;90;0
0.880000;90;0
0.890000;90;0
0.900000;90;0
0.910000;90;0
0.920000;90;0
0.930000;90;0
0.940000;90;0
0.950000;90;0
0.960000;90;0
0.970000;90;0
0.980000;90;0
0.990000;90;0
1.000000;90;0
0.000000;100;1000
0.010000;100;995
0.020000;100;979
0.030000;100;952
0.040000;100;922
0.050000;100;876
0.060000;100;799
0.070000;100;791
0.080000;100;721
0.090000;100;652
0.100000;100;617
0.110000;100;530
0.120000;100;464
0.130000;100;410
0.140000;100;339
0.150000;100;295
0.160000;100;233
0.170000;100;214
0.180000;100;177
0.190000;100;115
0.200000;100;100
0.210000;100;71
0.220000;100;54
0.230000;100;48
0.240000;100;43
0.250000;100;27
0.260000;100;11
0.270000;100;14
0.280000;100;4
0.290000;100;6
0.300000;100;4
0.310000;100;1
0.320000;100;2
0.330000;100;1
0.340000;100;0
0.350000;100;0
0.360000;100;1
0.370000;100;1
0.380000;100;0
0.390000;100;0
0.400000;100;0
0.410000;100;0
0.420000;100;0
0.430000;100;0
0.440000;100;0
0.450000;100;0
0.460000;100;0
0.470000;100;0
0.480000;100;0
0.490000;100;0
0.500000;100;0
0.510000;100;0
0.520000;100;0
0.530000;100;0
0.540000;100;0
0.550000;100;0
0.560000;100;0
0.570000;100;0
0.580000;100;0
